country_DE;country_ES;country_FR;country_IT;customer_segment_Premium;customer_segment_Standard;acquisition_channel_Organic;acquisition_channel_Paid Ads;acquisition_channel_Referral;recency_days;frequency;monetary_total;avg_order_value;recent_30d_spend;prev_30d_spend;spend_trend;tenure_days;future_revenue_90d
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;25.0;3.0;112.71;37.57;54.76;0.0;54.76;665.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;165.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;32.47
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;99.0;2.0;48.47;24.235;0.0;0.0;0.0;410.0;48.28
0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;61.0;1.0;49.24;49.24;0.0;0.0;0.0;414.0;63.55
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;103.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;668.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;46.0;2.0;80.94;40.47;0.0;34.31;-34.31;221.0;59.63
0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;61.0;2.0;171.99;85.995;0.0;0.0;0.0;583.0;46.08
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;662.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;346.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;105.0;1.0;24.2;24.2;0.0;0.0;0.0;193.0;36.06
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;155.0;1.0;35.79;35.79;0.0;0.0;0.0;174.0;0.0
0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;206.0;45.87
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;99.0;1.0;100.91;100.91;0.0;0.0;0.0;156.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;355.0;0.0
0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;37.37;37.37;37.37;0.0;37.37;637.0;151.92
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;21.0;1.0;16.08;16.08;16.08;0.0;16.08;117.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;78.0;1.0;24.7;24.7;0.0;0.0;0.0;401.0;28.25
0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;27.0;2.0;128.21;64.105;69.18;59.03;10.150000000000006;365.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;459.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;44.0;3.0;105.19999999999999;35.06666666666666;0.0;75.50999999999999;-75.50999999999999;597.0;34.03
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0;20.26
0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;159.0;18.24
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;22.0;2.0;91.65;45.825;26.62;65.03;-38.41;260.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;8.0;3.0;89.1;29.7;70.7;0.0;70.7;436.0;24.96
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;0.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;83.0;2.0;77.01;38.505;0.0;0.0;0.0;332.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;406.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;74.0;2.0;132.76;66.38;0.0;0.0;0.0;401.0;139.64
0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;36.0;5.0;650.33;130.066;0.0;109.58;-109.58;564.0;60.34
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;31.0;2.0;108.18;54.09;0.0;47.09;-47.09;663.0;145.68
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;325.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;81.0;48.75
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;150.0;1.0;41.63;41.63;0.0;0.0;0.0;684.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;103.0;28.96
0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;87.0;2.0;78.81;39.405;0.0;0.0;0.0;126.0;119.08
0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;20.0;6.0;212.21;35.36833333333333;23.74;64.33;-40.59;528.0;322.18
0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;269.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;610.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;29.0;3.0;110.73;36.910000000000004;43.0;67.73;-24.730000000000004;176.0;105.72
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;2.0;39.230000000000004;19.615000000000002;16.67;0.0;16.67;218.0;110.69
1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;56.0;3.0;315.44;105.14666666666666;0.0;39.92;-39.92;471.0;72.26
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;27.0;2.0;43.59;21.795;17.2;0.0;17.2;681.0;22.76
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;405.0;21.71
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;78.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;115.0;1.0;36.25;36.25;0.0;0.0;0.0;235.0;78.27
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;31.97;31.97;31.97;0.0;31.97;162.0;12.94
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;2.0;90.22999999999999;45.114999999999995;0.0;32.86;-32.86;175.0;0.0
0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;58.0;1.0;26.99;26.99;0.0;26.99;-26.99;588.0;58.26
0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;22.0;1.0;27.17;27.17;27.17;0.0;27.17;464.0;66.19999999999999
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;4.0;422.6;105.65;11.64;52.05;-40.41;389.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;367.0;0.0
0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;69.0;2.0;96.37;48.185;0.0;0.0;0.0;698.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;49.0;3.0;81.15;27.05;0.0;24.69;-24.69;331.0;19.2
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;64.0;3.0;48.07;16.023333333333333;0.0;0.0;0.0;618.0;49.75
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;23.0;2.0;65.35;32.675;20.73;0.0;20.73;187.0;21.8
0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;49.0;2.0;54.95;27.475;0.0;43.88;-43.88;231.0;0.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;36.54
0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;0.0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;44.0;2.0;776.9000000000001;388.45000000000005;0.0;110.58;-110.58;462.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;97.0;2.0;100.11000000000001;50.05500000000001;0.0;0.0;0.0;430.0;32.41
0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;88.0;2.0;182.34;91.17;0.0;0.0;0.0;492.0;0.0
0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;69.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;46.0;2.0;70.33;35.165;0.0;38.6;-38.6;460.0;0.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;125.0;1.0;22.61;22.61;0.0;0.0;0.0;675.0;180.01
0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;110.23;36.74333333333333;48.49;22.25;26.240000000000002;387.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0;19.73
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;27.0;2.0;64.27000000000001;32.135000000000005;50.95;13.32;37.63;592.0;116.08
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;143.0;1.0;78.77;78.77;0.0;0.0;0.0;392.0;348.82
0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;31.0;5.0;417.54;83.50800000000001;0.0;90.13;-90.13;636.0;0.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;229.0;184.39
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;383.0;378.33
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;110.0;1.0;60.4;60.4;0.0;0.0;0.0;489.0;9.05
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;565.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;133.0;1.0;39.48;39.48;0.0;0.0;0.0;318.0;239.55
0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;241.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;23.0;1.0;36.34;36.34;36.34;0.0;36.34;43.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;132.0;1.0;31.65;31.65;0.0;0.0;0.0;411.0;0.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;38.0;6.0;299.49;49.915;0.0;37.9;-37.9;613.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;181.0;0.0;0.0;0.0;0.0;0.0;0.0;122.0;0.0
