customer_id,transaction_date,amount
C0001,2024-02-18,30.96
C0001,2024-04-14,24.45
C0001,2024-07-15,44.53
C0001,2024-09-05,34.86
C0001,2024-11-07,23.09
C0001,2025-01-06,54.76
C0003,2024-06-24,183.47
C0003,2025-03-18,32.47
C0004,2024-01-05,24.28
C0004,2024-01-31,51.1
C0004,2024-03-22,17.46
C0004,2024-04-13,43.26
C0004,2024-07-13,17.63
C0004,2024-09-20,27.63
C0004,2024-10-24,20.84
C0004,2025-03-21,48.28
C0005,2024-03-05,24.53
C0005,2024-12-01,49.24
C0005,2025-04-14,63.55
C0008,2024-11-09,46.63
C0008,2024-12-16,34.31
C0008,2025-03-05,59.63
C0008,2025-05-31,30.3
C0009,2024-01-13,53.92
C0009,2024-04-14,79.38
C0009,2024-10-30,106.97
C0009,2024-12-01,65.02
C0009,2025-03-09,46.08
C0013,2024-10-18,24.2
C0013,2025-03-17,36.06
C0014,2024-08-29,35.79
C0015,2025-02-20,22.29
C0015,2025-03-18,23.58
C0015,2025-05-26,25.3
C0016,2024-10-24,100.91
C0017,2024-06-18,79.41
C0018,2023-12-19,243.06
C0018,2024-03-17,36.6
C0018,2024-04-01,66.88
C0018,2024-05-27,35.55
C0018,2025-01-30,37.37
C0018,2025-02-04,26.39
C0018,2025-02-15,115.63
C0018,2025-02-24,9.9
C0019,2025-01-10,16.08
C0020,2024-05-21,31.9
C0020,2024-06-24,67.83
C0020,2024-11-14,24.7
C0020,2025-03-15,28.25
C0021,2025-01-01,59.03
C0021,2025-01-04,69.18
C0023,2024-01-01,25.01
C0023,2024-05-05,10.9
C0023,2024-05-31,17.67
C0023,2024-10-01,29.69
C0023,2024-12-14,46.94
C0023,2024-12-18,28.57
C0023,2025-04-17,34.03
C0023,2025-05-28,96.96
C0024,2025-02-15,20.26
C0025,2025-02-23,18.24
C0026,2024-12-15,65.03
C0026,2025-01-09,26.62
C0027,2024-11-03,18.4
C0027,2025-01-19,16.09
C0027,2025-01-23,54.61
C0027,2025-03-22,24.96
C0029,2024-07-18,57.51
C0029,2024-07-30,66.58
C0029,2024-09-07,36.42
C0029,2024-11-09,40.59
C0029,2025-05-24,66.12
C0031,2024-04-07,41.21
C0031,2024-04-24,92.9
C0031,2024-06-28,42.17
C0031,2024-08-01,46.39
C0031,2024-11-08,105.54
C0031,2024-11-18,27.22
C0031,2025-03-11,46.3
C0031,2025-03-24,37.81
C0031,2025-04-06,55.53
C0032,2024-03-04,73.08
C0032,2024-04-22,39.84
C0032,2024-06-04,34.29
C0032,2024-06-14,25.32
C0032,2024-06-26,68.65
C0032,2024-09-04,77.27
C0032,2024-09-15,78.48
C0032,2024-10-10,240.24
C0032,2024-10-30,144.76
C0032,2024-12-26,109.58
C0032,2025-03-29,60.34
C0032,2025-05-03,35.84
C0033,2024-02-14,44.6
C0033,2024-03-16,52.16
C0033,2024-11-10,61.09
C0033,2024-12-31,47.09
C0033,2025-04-06,97.47
C0033,2025-04-22,48.21
C0034,2025-05-10,35.08
C0035,2025-02-17,48.75
C0036,2024-01-31,25.76
C0036,2024-03-02,41.3
C0036,2024-06-10,26.64
C0036,2024-07-07,22.52
C0036,2024-07-25,52.54
C0036,2024-09-03,41.63
C0036,2025-05-21,31.32
C0037,2025-04-23,28.96
C0038,2024-10-12,56.42
C0038,2024-11-05,22.39
C0038,2025-03-11,15.47
C0038,2025-03-21,45.32
C0038,2025-04-05,58.29
C0039,2024-04-22,56.68
