ticket_id,customer_id,time_request,time_reply,channel,request,reply,solved,original_request,original_ticket_id
7590-VHVEG_T1,7590-VHVEG,2024-12-03 00:00:00,2024-12-03 03:27:14,Email,Frage zum Vertrag,Problem gelöst,True,True,
7590-VHVEG_T1,7590-VHVEG,2024-12-03 03:27:14,2024-12-04 21:31:13,Social Media,Internet funktioniert nicht,Anfrage wird bearbeitet,False,False,7590-VHVEG_T1
7590-VHVEG_T1,7590-VHVEG,2024-12-04 21:31:13,2024-12-05 13:12:06,Email,Beschwerde über Kundenservice,Ticket geschlossen,True,False,7590-VHVEG_T1
5575-GNVDE_T1,5575-GNVDE,2024-06-18 00:00:00,2024-06-19 23:03:43,Email,Problem mit Rechnung,Anfrage wird bearbeitet,False,True,
5575-GNVDE_T1,5575-GNVDE,2024-06-20 23:03:43,2024-06-20 23:21:41,Hotline,Internet funktioniert nicht,Anfrage wird bearbeitet,False,False,5575-GNVDE_T1
5575-GNVDE_T2,5575-GNVDE,2024-07-11 00:00:00,2024-07-11 11:08:29,Chat,Internet funktioniert nicht,Problem gelöst,True,True,
5575-GNVDE_T3,5575-GNVDE,2022-09-16 00:00:00,2022-09-16 20:40:55,Email,Problem mit Rechnung,Weitere Informationen benötigt,False,True,
5575-GNVDE_T3,5575-GNVDE,2022-09-16 20:40:55,2022-09-17 15:30:13,Chat,Problem mit Rechnung,Weitere Informationen benötigt,False,False,5575-GNVDE_T3
3668-QPYBK_T1,3668-QPYBK,2024-10-31 00:00:00,2024-11-01 08:59:50,Chat,Frage zum Vertrag,Anfrage wird bearbeitet,False,True,
3668-QPYBK_T1,3668-QPYBK,2024-11-02 08:59:50,2024-11-02 13:27:15,On-site,Internet funktioniert nicht,Problem gelöst,True,False,3668-QPYBK_T1
3668-QPYBK_T2,3668-QPYBK,2024-12-17 00:00:00,2024-12-17 12:25:04,Email,Problem mit Rechnung,Anfrage wird bearbeitet,False,True,
3668-QPYBK_T2,3668-QPYBK,2024-12-17 12:25:04,2024-12-17 22:39:45,Email,Internet funktioniert nicht,Problem gelöst,True,False,3668-QPYBK_T2
3668-QPYBK_T2,3668-QPYBK,2024-12-17 22:39:45,2024-12-17 23:53:31,Email,Technische Störung,Weitere Informationen benötigt,False,False,3668-QPYBK_T2
3668-QPYBK_T3,3668-QPYBK,2024-12-08 00:00:00,2024-12-08 23:33:03,Email,Beschwerde über Kundenservice,Ticket geschlossen,True,True,
3668-QPYBK_T3,3668-QPYBK,2024-12-09 23:33:03,2024-12-09 23:56:54,On-site,Internet funktioniert nicht,Ticket geschlossen,True,False,3668-QPYBK_T3
3668-QPYBK_T3,3668-QPYBK,2024-12-10 23:56:54,2024-12-10 23:59:19,On-site,Beschwerde über Kundenservice,Ticket geschlossen,True,False,3668-QPYBK_T3
7795-CFOCW_T1,7795-CFOCW,2021-04-19 00:00:00,2021-04-20 19:36:06,Email,Technische Störung,Weitere Informationen benötigt,False,True,
9237-HQITU_T1,9237-HQITU,2024-11-16 00:00:00,2024-11-16 13:42:25,Email,Internet funktioniert nicht,Ticket geschlossen,True,True,
